MOTIF TF Family
HSF2_2 HSF2 HSF
HSF4_1 HSF4 HSF
HSFY2_1 HSFY2 HSFY
HSFY2_2 HSFY2 HSFY
HSFY2_3 HSFY2 HSFY
ID4_1 ID4 ID4
IKZF1_1 IKZF1 IKZF
IKZF1_2 IKZF1 IKZF
IKZF2_1 IKZF2 IKZF
IKZF2_2 IKZF2 IKZF
IKZF2_3 IKZF2 IKZF
IKZF3_1 IKZF3 IKZF
INSM1_1 INSM1 INSM1
IRF_1 IRF IRF
IRF_2 IRF IRF
IRF_disc1 IRF IRF
IRF_disc2 IRF IRF
IRF_disc3 IRF IRF
IRF_disc4 IRF IRF
IRF_disc5 IRF IRF
IRF_disc6 IRF IRF
IRF1_1 IRF1 IRF
IRF1_2 IRF1 IRF
IRF1_3 IRF1 IRF
IRF2_1 IRF2 IRF
IRF2_2 IRF2 IRF
IRF3_1 IRF3 IRF
IRF3_2 IRF3 IRF
IRF4_1 IRF4 IRF
IRF4_2 IRF4 IRF
IRF5_1 IRF5 IRF
IRF5_2 IRF5 IRF
IRF5_3 IRF5 IRF
IRF6_1 IRF6 IRF
IRF7_1 IRF7 IRF
IRF7_2 IRF7 IRF
IRF7_3 IRF7 IRF
IRF8_1 IRF8 IRF
IRF8_2 IRF8 IRF
IRF8_3 IRF8 IRF
IRF9_1 IRF9 IRF
IRF9_2 IRF9 IRF
IRF9_3 IRF9 IRF
IRX2_1 IRX2 IRX
IRX2_2 IRX2 IRX
IRX3_1 IRX3 IRX
IRX3_2 IRX3 IRX
IRX3_3 IRX3 IRX
IRX4_1 IRX4 IRX
IRX5_1 IRX5 IRX
IRX5_2 IRX5 IRX
IRX6_1 IRX6 IRX
ISL2_1 ISL2 ISL
ISL2_2 ISL2 ISL
ISX_1 ISX ISX
ISX_2 ISX ISX
ISX_3 ISX ISX
ISX_4 ISX ISX
ITGB2_1 ITGB2 ITGB
JDP2_1 JDP2 JDP
JDP2_2 JDP2 JDP
JDP2_3 JDP2 JDP
JDP2_4 JDP2 JDP
JDP2_5 JDP2 JDP
JDP2_6 JDP2 JDP
JDP2_7 JDP2 JDP
KLF12_1 KLF12 KLF
KLF12_2 KLF12 KLF
KLF13_1 KLF13 KLF
KLF14_1 KLF14 KLF
KLF16_1 KLF16 KLF
KLF4_1 KLF4 KLF
KLF7_1 KLF7 KLF
LBX2_1 LBX2 LBX
LBX2_2 LBX2 LBX
LBX2_3 LBX2 LBX
LEF1_1 LEF1 LEF
LEF1_2 LEF1 LEF
LEF1_3 LEF1 LEF
LEF1_4 LEF1 LEF
LEF1_5 LEF1 LEF
LHX1_1 LHX1 LHX
LHX2_1 LHX2 LHX
LHX2_2 LHX2 LHX
LHX2_3 LHX2 LHX
LHX3_1 LHX3 LHX
LHX3_2 LHX3 LHX
LHX3_3 LHX3 LHX
LHX4_1 LHX4 LHX
LHX4_2 LHX4 LHX
LHX5_1 LHX5 LHX
LHX6_1 LHX6 LHX
LHX6_2 LHX6 LHX
LHX6_3 LHX6 LHX
LHX6_4 LHX6 LHX
LHX6_5 LHX6 LHX
LHX8_1 LHX8 LHX
LHX8_2 LHX8 LHX
LHX8_3 LHX8 LHX
LHX8_4 LHX8 LHX
LHX9_1 LHX9 LHX
LHX9_2 LHX9 LHX
LHX9_3 LHX9 LHX
LMO2_1 LMO2 LMO
LMO2_2 LMO2 LMO
LMX1A_1 LMX1A LMX
LMX1A_2 LMX1A LMX
LMX1B_1 LMX1B LMX
LMX1B_2 LMX1B LMX
LMX1B_3 LMX1B LMX
MAF_1 MAF MAF
MAF_2 MAF MAF
MAF_disc1 MAF MAF
MAF_disc2 MAF MAF
MAFB_1 MAFB MAF
MAFB_2 MAFB MAF
MAFB_3 MAFB MAF
MAFB_4 MAFB MAF
MAFB_5 MAFB MAF
MAFF_1 MAFF MAF
MAFG_1 MAFG MAF
MAFK_1 MAFK MAF
MAFK_2 MAFK MAF
MAFK_3 MAFK MAF
MAFK_4 MAFK MAF
MAFK_5 MAFK MAF
MAX_1 MAX MAX
MAX_2 MAX MAX
MAX_3 MAX MAX
MAX_4 MAX MAX
MAX_5 MAX MAX
MAZ_1 MAZ MAZ
MEF2_disc1 MEF2 MEF2
MEF2_disc2 MEF2 MEF2
MEF2_disc3 MEF2 MEF2
MEF2A_1 MEF2A MEF2
MEF2A_2 MEF2A MEF2
MEF2A_3 MEF2A MEF2
MEF2A_4 MEF2A MEF2
MEF2A_5 MEF2A MEF2
MEF2B_1 MEF2B MEF2
MEF2D_1 MEF2D MEF2
MEIS1_1 MEIS1 MEIS
MEIS1_2 MEIS1 MEIS
MEIS1_3 MEIS1 MEIS
MEIS1_4 MEIS1 MEIS
MEIS1::HOXA9_1 MEIS1::HOXA9 MEIS1::HOXA9
MEIS1::HOXA9_2 MEIS1::HOXA9 MEIS1::HOXA9
MEIS2_1 MEIS2 MEIS
MEIS2_2 MEIS2 MEIS
MEIS2_3 MEIS2 MEIS
MEIS2_4 MEIS2 MEIS
MEIS3_1 MEIS3 MEIS
MEIS3_2 MEIS3 MEIS
MEIS3_3 MEIS3 MEIS
MEIS3_4 MEIS3 MEIS
MEIS3_5 MEIS3 MEIS
MEOX1_1 MEOX1 MEOX
MEOX1_2 MEOX1 MEOX
MEOX2_1 MEOX2 MEOX
MEOX2_2 MEOX2 MEOX
MEOX2_3 MEOX2 MEOX
MEOX2_4 MEOX2 MEOX
MESP1_1 MESP1 MESP
MGA_1 MGA MGA
MGA_2 MGA MGA
MGA_3 MGA MGA
MIXL1_1 MIXL1 MIXL1
MLX_1 MLX MLX
MLX_2 MLX MLX
MLXIPL_1 MLXIPL MLXIPL
MNT_1 MNT MNT
MNX1_1 MNX1 MNX1
MNX1_2 MNX1 MNX1
MSC_1 MSC MSC
MSX1_1 MSX1 MSX
MSX1_2 MSX1 MSX
MSX1_3 MSX1 MSX
MSX1_4 MSX1 MSX
MSX1_5 MSX1 MSX
MSX2_1 MSX2 MSX
MSX2_2 MSX2 MSX
MSX2_3 MSX2 MSX
MSX2_4 MSX2 MSX
MSX2_5 MSX2 MSX
MSX2_6 MSX2 MSX
MTF1_1 MTF1 MTF
MTF1_2 MTF1 MTF
MTF1_3 MTF1 MTF
MXI1_disc1 MXI1 MXI
MXI1_disc2 MXI1 MXI
MYB_1 MYB MYB
MYB_2 MYB MYB
MYB_3 MYB MYB
MYB_4 MYB MYB
MYB_5 MYB MYB
MYB_6 MYB MYB
MYBL1_1 MYBL1 MYB
MYBL1_2 MYBL1 MYB
MYBL1_3 MYBL1 MYB
MYBL1_4 MYBL1 MYB
MYBL1_5 MYBL1 MYB
MYBL2_1 MYBL2 MYB
MYBL2_2 MYBL2 MYB
MYBL2_3 MYBL2 MYB
MYBL2_4 MYBL2 MYB
MYC_1 MYC MYC
MYC_2 MYC MYC
MYC_3 MYC MYC
MYC_4 MYC MYC
MYC_disc1 MYC MYC
MYC_disc10 MYC MYC
MYC_disc2 MYC MYC
MYC_disc3 MYC MYC
MYC_disc4 MYC MYC
MYC_disc5 MYC MYC
MYC_disc6 MYC MYC
MYC_disc7 MYC MYC
MYC_disc8 MYC MYC
MYC_disc9 MYC MYC
MYC::MAX_1 MYC::MAX MYC::MAX
MYC::MAX_2 MYC::MAX MYC::MAX
MYC::MAX_3 MYC::MAX MYC::MAX
MYC::MAX_4 MYC::MAX MYC::MAX
MYC::MAX_5 MYC::MAX MYC::MAX
MYCN_1 MYCN MYC
MYCN_2 MYCN MYC
MYEF2_1 MYEF2 MYEF2
MYEF2_2 MYEF2 MYEF2
MYEF2_3 MYEF2 MYEF2
MYEF2_4 MYEF2 MYEF2
MYEF2_5 MYEF2 MYEF2
MYEF2_6 MYEF2 MYEF2
MYEF2_7 MYEF2 MYEF2
MYF_1 MYF MYF
MYF6_1 MYF6 MYF
MYF6_2 MYF6 MYF
MYOD1_1 MYOD1 
MYOD1_2 MYOD1 
MYOD1_3 MYOD1 
MYOG_1 MYOG 
MZF1_1 MZF1 MZF1
MZF1_2 MZF1 MZF1
MZF1_3 MZF1 MZF1
MZF1_4 MZF1 MZF1
NANOG_1 NANOG NANOG
NANOG_disc1 NANOG NANOG
NANOG_disc2 NANOG NANOG
NANOG_disc3 NANOG NANOG
NANOG_disc4 NANOG NANOG
NEUROD2_1 NEUROD2 
NEUROG2_1 NEUROG2 
NEUROG2_2 NEUROG2 
NFAT_1 NFAT NFAT
NFAT_2 NFAT NFAT
NFAT5_1 NFAT5 NFAT
NFATC1_1 NFATC1 NFAT
NFATC1_2 NFATC1 NFAT
NFATC1_3 NFATC1 NFAT
NFATC2_1 NFATC2 NFAT
NFE2_1 NFE2 NFE2
NFE2_2 NFE2 NFE2
NFE2_disc1 NFE2 NFE2
NFE2_disc2 NFE2 NFE2
NFE2_disc3 NFE2 NFE2
NFE2_disc4 NFE2 NFE2
NFE2L1_1 NFE2L1 NFE2L
NFE2L1::MAFG_1 NFE2L1::MAFG NFE2L1::MAFG
NFE2L1::MAFG_2 NFE2L1::MAFG NFE2L1::MAFG
NFE2L2_1 NFE2L2 NFE2L
NFE2L2_2 NFE2L2 NFE2L
NFE2L2_3 NFE2L2 NFE2L
NFIA_1 NFIA NFI
NFIB_1 NFIB NFI
NFIC_1 NFIC NFI
NFIC_2 NFIC NFI
NFIC_3 NFIC NFI
NFIC_4 NFIC NFI
NFIL3_1 NFIL3 NFIL
NFIL3_2 NFIL3 NFIL
NFIL3_3 NFIL3 NFIL
NFIX_1 NFIX NFI
NFKB_1 NFKB NFKB
NFKB_2 NFKB NFKB
NFKB_3 NFKB NFKB
NFKB_4 NFKB NFKB
NFKB_5 NFKB NFKB
NFKB_disc1 NFKB NFKB
NFKB_disc2 NFKB NFKB
NFKB_disc3 NFKB NFKB
NFKB_disc4 NFKB NFKB
NFKB1_1 NFKB1 NFKB
NFKB1_2 NFKB1 NFKB
NFKB1_3 NFKB1 NFKB
NFKB2_1 NFKB2 NFKB
NFY_1 NFY NFY
NFY_2 NFY NFY
NFY_3 NFY NFY
NFY_4 NFY NFY
NFY_5 NFY NFY
NFY_disc1 NFY NFY
NFYA_1 NFYA NFY
NHLH1_1 NHLH1 NHLH
NHLH1_2 NHLH1 NHLH
NHLH1_3 NHLH1 NHLH
NHLH1_4 NHLH1 NHLH
NHLH1_5 NHLH1 NHLH
NKX1-1_1 NKX1-1 NKX
NKX1-2_1 NKX1-2 NKX
NKX2-1_1 NKX2-1 NKX
NKX2-1_2 NKX2-1 NKX
NKX2-1_3 NKX2-1 NKX
NKX2-2_1 NKX2-2 NKX
NKX2-2_2 NKX2-2 NKX
NKX2-3_1 NKX2-3 NKX
NKX2-3_2 NKX2-3 NKX
NKX2-3_3 NKX2-3 NKX
NKX2-4_1 NKX2-4 NKX
NKX2-5_1 NKX2-5 NKX
NKX2-5_2 NKX2-5 NKX
NKX2-5_3 NKX2-5 NKX
NKX2-5_4 NKX2-5 NKX
NKX2-5_5 NKX2-5 NKX
NKX2-6_1 NKX2-6 NKX
NKX2-8_1 NKX2-8 NKX
NKX2-8_2 NKX2-8 NKX
NKX2-8_3 NKX2-8 NKX
NKX3-1_1 NKX3-1 NKX
NKX3-1_2 NKX3-1 NKX
NKX3-1_3 NKX3-1 NKX
NKX3-1_4 NKX3-1 NKX
NKX3-1_5 NKX3-1 NKX
NKX3-1_6 NKX3-1 NKX
NKX3-2_1 NKX3-2 NKX
NKX3-2_2 NKX3-2 NKX
NKX3-2_3 NKX3-2 NKX
NKX6-1_1 NKX6-1 NKX
NKX6-1_2 NKX6-1 NKX
NKX6-1_3 NKX6-1 NKX
NKX6-1_4 NKX6-1 NKX
NKX6-1_5 NKX6-1 NKX
NKX6-1_6 NKX6-1 NKX
NKX6-2_1 NKX6-2 NKX
NKX6-2_2 NKX6-2 NKX
NKX6-2_3 NKX6-2 NKX
NKX6-3_1 NKX6-3 NKX
NOBOX_1 NOBOX NOBOX
NOBOX_2 NOBOX NOBOX
NOTO_1 NOTO NOTO
NR1H_1 NR1H NR
NR1H_2 NR1H NR
NR1H_3 NR1H NR
NR1H4_1 NR1H4 NR
NR1H4_2 NR1H4 NR
NR1H4_3 NR1H4 NR
NR2C2_1 NR2C2 NR
NR2C2_disc1 NR2C2 NR
NR2C2_disc2 NR2C2 NR
NR2C2_disc3 NR2C2 NR
NR2E1_1 NR2E1 NR
NR2E1_2 NR2E1 NR
NR2E1_3 NR2E1 NR
NR2E1_4 NR2E1 NR
NR2E1::NFIC_1 NR2E1::NFIC NR2E1::NFIC
NR2E3_1 NR2E3 NR
NR2F1_1 NR2F1 NR
NR2F1_2 NR2F1 NR
NR2F1_3 NR2F1 NR
NR2F1_4 NR2F1 NR
NR2F1_5 NR2F1 NR
NR2F2_1 NR2F2 NR
NR2F2_2 NR2F2 NR
NR2F6_1 NR2F6 NR
NR2F6_2 NR2F6 NR
NR2F6_3 NR2F6 NR
NR2F6_4 NR2F6 NR
NR2F6_5 NR2F6 NR
NR3C1_1 NR3C1 NR
NR3C1_2 NR3C1 NR
NR3C1_3 NR3C1 NR
NR3C1_4 NR3C1 NR
NR3C1_5 NR3C1 NR
NR3C1_6 NR3C1 NR
NR3C1_7 NR3C1 NR
NR3C1_disc1 NR3C1 NR
NR3C1_disc2 NR3C1 NR
NR3C1_disc3 NR3C1 NR
NR3C1_disc4 NR3C1 NR
NR3C1_disc5 NR3C1 NR
NR3C1_disc6 NR3C1 NR
NR3C2_1 NR3C2 NR
NR4A2_1 NR4A2 NR
NR4A2_2 NR4A2 NR
NR4A2_3 NR4A2 NR
NR4A2_4 NR4A2 NR
NR5A1_1 NR5A1 NR
NR5A1_2 NR5A1 NR
NR5A2_1 NR5A2 NR
NR6A1_1 NR6A1 NR
NRF1_1 NRF1 NRF
NRF1_2 NRF1 NRF
NRF1_disc1 NRF1 NRF
NRF1_disc2 NRF1 NRF
NRF1_disc3 NRF1 NRF
NRL_1 NRL NRL
OBOX1_1 OBOX1 OBOX
OBOX2_1 OBOX2 OBOX
OBOX3_1 OBOX3 OBOX
OBOX5_1 OBOX5 OBOX
OBOX5_2 OBOX5 OBOX
OBOX6_1 OBOX6 OBOX
OLIG1_1 OLIG1 OLIG
OLIG2_1 OLIG2 OLIG
OLIG2_2 OLIG2 OLIG
OLIG3_1 OLIG3 OLIG
ONECUT1_1 ONECUT1 ONECUT
ONECUT1_2 ONECUT1 ONECUT
ONECUT1_3 ONECUT1 ONECUT
ONECUT2_1 ONECUT2 ONECUT
ONECUT3_1 ONECUT3 ONECUT
OSR1_1 OSR1 OSR
OSR2_1 OSR2 OSR
OTP_1 OTP OTP
OTX_1 OTX OTX
OTX1_1 OTX1 OTX
OTX1_2 OTX1 OTX
OTX1_3 OTX1 OTX
OTX1_4 OTX1 OTX
OTX1_5 OTX1 OTX
OTX2_1 OTX2 OTX
OTX2_2 OTX2 OTX
OTX2_3 OTX2 OTX
OVOL2_1 OVOL2 OVOL
PATZ1_1 PATZ1 PATZ
PAX_1 PAX PAX
PAX1_1 PAX1 PAX
PAX1_2 PAX1 PAX
PAX2_1 PAX2 PAX
PAX2_2 PAX2 PAX
PAX2_3 PAX2 PAX
PAX2_4 PAX2 PAX
PAX3_1 PAX3 PAX
PAX3_2 PAX3 PAX
PAX3_3 PAX3 PAX
PAX4_1 PAX4 PAX
PAX4_2 PAX4 PAX
PAX4_3 PAX4 PAX
PAX4_4 PAX4 PAX
PAX4_5 PAX4 PAX
PAX4_6 PAX4 PAX
PAX4_7 PAX4 PAX
PAX4_8 PAX4 PAX
PAX5_1 PAX5 PAX
PAX5_2 PAX5 PAX
PAX5_3 PAX5 PAX
PAX5_4 PAX5 PAX
PAX5_disc1 PAX5 PAX
PAX5_disc2 PAX5 PAX
PAX5_disc3 PAX5 PAX
PAX5_disc4 PAX5 PAX
PAX5_disc5 PAX5 PAX
PAX6_1 PAX6 PAX
PAX6_2 PAX6 PAX
PAX6_3 PAX6 PAX
PAX6_4 PAX6 PAX
PAX6_5 PAX6 PAX
PAX7_1 PAX7 PAX
PAX7_2 PAX7 PAX
PAX7_3 PAX7 PAX
PAX8_1 PAX8 PAX
PAX8_2 PAX8 PAX
PAX9_1 PAX9 PAX
PBX_1 PBX PBX
PBX1_1 PBX1 PBX
PBX1_2 PBX1 PBX
PBX1_3 PBX1 PBX
PBX1_4 PBX1 PBX
PBX1_5 PBX1 PBX
PBX3_disc1 PBX3 PBX
PBX3_disc2 PBX3 PBX
PBX3_disc3 PBX3 PBX
PDX1_1 PDX1 PDX
PDX1_2 PDX1 PDX
PDX1_3 PDX1 PDX
PDX1_4 PDX1 PDX
PDX1_5 PDX1 PDX
PDX1_6 PDX1 PDX
PGR_1 PGR PGR
PGR_2 PGR PGR
PHOX2A_1 PHOX2A PHOX
PHOX2A_2 PHOX2A PHOX
PHOX2B_1 PHOX2B PHOX
PHOX2B_2 PHOX2B PHOX
PHOX2B_3 PHOX2B PHOX
PITX1_1 PITX1 PITX
PITX1_2 PITX1 PITX
PITX1_3 PITX1 PITX
PITX1_4 PITX1 PITX
PITX2_1 PITX2 PITX
PITX2_2 PITX2 PITX
PITX3_1 PITX3 PITX
PITX3_2 PITX3 PITX
PKNOX1_1 PKNOX1 PKNOX
PKNOX1_2 PKNOX1 PKNOX
PKNOX2_1 PKNOX2 PKNOX
PKNOX2_2 PKNOX2 PKNOX
PKNOX2_3 PKNOX2 PKNOX
PLAG1_1 PLAG1 PLAG
PLAGL1_1 PLAGL1 PLAGL
POU_1 POU POU
POU_2 POU POU
POU1F1_1 POU1F1 POU
POU1F1_2 POU1F1 POU
POU1F1_3 POU1F1 POU
POU1F1_4 POU1F1 POU
POU1F1_5 POU1F1 POU
POU2F1_1 POU2F1 POU
POU2F1_10 POU2F1 POU
POU2F1_11 POU2F1 POU
POU2F1_12 POU2F1 POU
POU2F1_13 POU2F1 POU
POU2F1_14 POU2F1 POU
POU2F1_2 POU2F1 POU
POU2F1_3 POU2F1 POU
POU2F1_4 POU2F1 POU
POU2F1_5 POU2F1 POU
POU2F1_6 POU2F1 POU
POU2F1_7 POU2F1 POU
POU2F1_8 POU2F1 POU
POU2F1_9 POU2F1 POU
POU2F2_1 POU2F2 POU
POU2F2_2 POU2F2 POU
POU2F2_3 POU2F2 POU
POU2F2_4 POU2F2 POU
POU2F2_5 POU2F2 POU
POU2F2_disc1 POU2F2 POU
POU2F2_disc2 POU2F2 POU
POU2F3_1 POU2F3 POU
POU2F3_2 POU2F3 POU
POU2F3_3 POU2F3 POU
POU3F1_1 POU3F1 POU
POU3F1_2 POU3F1 POU
POU3F1_3 POU3F1 POU
POU3F2_1 POU3F2 POU
POU3F2_2 POU3F2 POU
POU3F2_3 POU3F2 POU
POU3F2_4 POU3F2 POU
POU3F2_5 POU3F2 POU
POU3F2_6 POU3F2 POU
POU3F3_1 POU3F3 POU
POU3F3_2 POU3F3 POU
POU3F3_3 POU3F3 POU
POU3F3_4 POU3F3 POU
POU3F4_1 POU3F4 POU
POU3F4_2 POU3F4 POU
POU3F4_3 POU3F4 POU
POU4F1_1 POU4F1 POU
POU4F2_1 POU4F2 POU
POU4F2_2 POU4F2 POU
POU4F3_1 POU4F3 POU
POU4F3_2 POU4F3 POU
POU5F1_1 POU5F1 POU
POU5F1_2 POU5F1 POU
POU5F1_3 POU5F1 POU
POU5F1_disc1 POU5F1 POU
POU5F1_disc2 POU5F1 POU
POU5F1B_1 POU5F1B POU
POU5F1B_2 POU5F1B POU
POU6F1_1 POU6F1 POU
POU6F1_2 POU6F1 POU
POU6F1_3 POU6F1 POU
POU6F2_1 POU6F2 POU
POU6F2_2 POU6F2 POU
POU6F2_3 POU6F2 POU
PPARA_1 PPARA PPAR
PPARA_2 PPARA PPAR
PPARA_3 PPARA PPAR
PPARA_4 PPARA PPAR
PPARG_1 PPARG PPAR
PPARG_2 PPARG PPAR
PPARG_3 PPARG PPAR
PPARG_4 PPARG PPAR
PRDM1_1 PRDM1 PRDM
PRDM1_2 PRDM1 PRDM
PRDM1_disc1 PRDM1 PRDM
PRDM1_disc2 PRDM1 PRDM
PRDM4_1 PRDM4 PRDM
PROP1_1 PROP1 PROP
PROP1_2 PROP1 PROP
PROP1_3 PROP1 PROP
PROX1_1 PROX1 PROX
PRRX1_1 PRRX1 PRRX
PRRX1_2 PRRX1 PRRX
PRRX1_3 PRRX1 PRRX
PRRX1_4 PRRX1 PRRX
PRRX2_1 PRRX2 PRRX
PRRX2_2 PRRX2 PRRX
PRRX2_3 PRRX2 PRRX
PRRX2_4 PRRX2 PRRX
PRRX2_5 PRRX2 PRRX
PTEN_1 PTEN PTEN
PTF1A_1 PTF1A PTF1A
RAD21_disc1 RAD21 RAD21
RAD21_disc10 RAD21 RAD21
RAD21_disc2 RAD21 RAD21
RAD21_disc3 RAD21 RAD21
RAD21_disc4 RAD21 RAD21
RAD21_disc5 RAD21 RAD21
RAD21_disc6 RAD21 RAD21
RAD21_disc7 RAD21 RAD21
RAD21_disc8 RAD21 RAD21
RAD21_disc9 RAD21 RAD21
RAR_1 RAR RAR
RARA_1 RARA RAR
RARA_10 RARA RAR
RARA_2 RARA RAR
RARA_3 RARA RAR
RARA_4 RARA RAR
RARA_5 RARA RAR
RARA_6 RARA RAR
RARA_7 RARA RAR
RARA_8 RARA RAR
RARA_9 RARA RAR
RARB_1 RARB RAR
RARB_2 RARB RAR
RARB_3 RARB RAR
RARB_4 RARB RAR
RARG_1 RARG RAR
RARG_2 RARG RAR
RARG_3 RARG RAR
RARG_4 RARG RAR
RARG_5 RARG RAR
RARG_6 RARG RAR
RARG_7 RARG RAR
RARG_8 RARG RAR
RARG_9 RARG RAR
RAX_1 RAX RAX
RAX_2 RAX RAX
RAX2_1 RAX2 RAX
RBPJ_1 RBPJ RBPJ
RBPJ_2 RBPJ RBPJ
REL_1 REL REL
REL_2 REL REL
RELA_1 RELA REL
RELA_2 RELA REL
REST_1 REST REST
REST_2 REST REST
REST_3 REST REST
REST_4 REST REST
REST_disc1 REST REST
REST_disc10 REST REST
REST_disc2 REST REST
REST_disc3 REST REST
REST_disc4 REST REST
REST_disc5 REST REST
REST_disc6 REST REST
REST_disc7 REST REST
REST_disc8 REST REST
REST_disc9 REST REST
RFX1_1 RFX1 RFX
RFX1_2 RFX1 RFX
RFX1_3 RFX1 RFX
RFX1_4 RFX1 RFX
RFX2_1 RFX2 RFX
RFX2_2 RFX2 RFX
RFX2_3 RFX2 RFX
RFX2_4 RFX2 RFX
RFX3_1 RFX3 RFX
RFX3_2 RFX3 RFX
RFX3_3 RFX3 RFX
RFX3_4 RFX3 RFX
RFX4_1 RFX4 RFX
RFX4_2 RFX4 RFX
RFX4_3 RFX4 RFX
RFX5_1 RFX5 RFX
RFX5_2 RFX5 RFX
RFX5_disc1 RFX5 RFX
RFX5_disc2 RFX5 RFX
RFX5_disc3 RFX5 RFX
RFX7_1 RFX7 RFX
RHOXF1_1 RHOXF1 RHOXF
RHOXF1_2 RHOXF1 RHOXF
RHOXF1_3 RHOXF1 RHOXF
RHOXF1_4 RHOXF1 RHOXF
RHOXF1_5 RHOXF1 RHOXF
RHOXF1_6 RHOXF1 RHOXF
RHOXF1_7 RHOXF1 RHOXF
RHOXF2_1 RHOXF2 RHOXF
RORA_1 RORA RORA
RORA_2 RORA RORA
RORA_3 RORA RORA
RORA_4 RORA RORA
RORA_5 RORA RORA
RORA_6 RORA RORA
RORA_7 RORA RORA
RREB1_1 RREB1 RREB1
RREB1_2 RREB1 RREB1
RUNX_1 RUNX RUNX
RUNX_2 RUNX RUNX
RUNX1_1 RUNX1 RUNX
RUNX1_2 RUNX1 RUNX
RUNX1_3 RUNX1 RUNX
RUNX1_4 RUNX1 RUNX
RUNX1_5 RUNX1 RUNX
RUNX1_6 RUNX1 RUNX
RUNX1_7 RUNX1 RUNX
RUNX1_8 RUNX1 RUNX
RUNX1_9 RUNX1 RUNX
RUNX2_1 RUNX2 RUNX
RUNX2_2 RUNX2 RUNX
RUNX2_3 RUNX2 RUNX
RUNX2_4 RUNX2 RUNX
RUNX2_5 RUNX2 RUNX
RUNX2_6 RUNX2 RUNX
RUNX3_1 RUNX3 RUNX
RUNX3_2 RUNX3 RUNX
RUNX3_3 RUNX3 RUNX
RUNX3_4 RUNX3 RUNX
RXRA_1 RXRA RXR
RXRA_10 RXRA RXR
RXRA_11 RXRA RXR
RXRA_2 RXRA RXR
RXRA_3 RXRA RXR
RXRA_4 RXRA RXR
RXRA_5 RXRA RXR
RXRA_6 RXRA RXR
RXRA_7 RXRA RXR
RXRA_8 RXRA RXR
RXRA_9 RXRA RXR
RXRA_disc1 RXRA RXR
RXRA_disc2 RXRA RXR
RXRA_disc3 RXRA RXR
RXRA_disc4 RXRA RXR
RXRA_disc5 RXRA RXR
RXRB_1 RXRB RXR
RXRB_2 RXRB RXR
RXRG_1 RXRG RXR
RXRG_2 RXRG RXR
RXRG_3 RXRG RXR
SCRT1_1 SCRT1 SCRT
SCRT2_1 SCRT2 SCRT
SEF1_1 SEF1 SEF
SETDB1_disc1 SETDB1 SETDB
SETDB1_disc2 SETDB1 SETDB
SHOX_1 SHOX SHOX
SHOX2_1 SHOX2 SHOX
SHOX2_2 SHOX2 SHOX
SHOX2_3 SHOX2 SHOX
SIN3A_disc1 SIN3A SIN3A
SIN3A_disc2 SIN3A SIN3A
SIN3A_disc3 SIN3A SIN3A
SIN3A_disc4 SIN3A SIN3A
SIN3A_disc5 SIN3A SIN3A
SIN3A_disc6 SIN3A SIN3A
SIN3A_disc7 SIN3A SIN3A
SIRT6_disc1 SIRT6 SIRT
SIX1_1 SIX1 SIX
SIX2_1 SIX2 SIX
SIX3_1 SIX3 SIX
SIX4_1 SIX4 SIX
SIX5_disc1 SIX5 SIX
SIX5_disc2 SIX5 SIX
SIX5_disc3 SIX5 SIX
SIX5_disc4 SIX5 SIX
SIX6_1 SIX6 SIX
SIX6_2 SIX6 SIX
SIX6_3 SIX6 SIX
SMAD_1 SMAD SMAD
SMAD_2 SMAD SMAD
SMAD3_1 SMAD3 SMAD
SMAD3_2 SMAD3 SMAD
SMAD3_3 SMAD3 SMAD
SMAD4_1 SMAD4 SMAD
SMARC_disc1 SMARC SMARC
SMARC_disc2 SMARC SMARC
SMC3_disc1 SMC3 SMC3
SMC3_disc2 SMC3 SMC3
SMC3_disc3 SMC3 SMC3
SMC3_disc4 SMC3 SMC3
SNAI2_1 SNAI2 SNAIL
SOX_1 SOX SOX
SOX1_1 SOX1 SOX
SOX1_2 SOX1 SOX
SOX1_3 SOX1 SOX
SOX1_4 SOX1 SOX
SOX1_5 SOX1 SOX
SOX10_1 SOX10 SOX
SOX10_10 SOX10 SOX
SOX10_2 SOX10 SOX
SOX10_3 SOX10 SOX
SOX10_4 SOX10 SOX
SOX10_5 SOX10 SOX
SOX10_6 SOX10 SOX
SOX10_7 SOX10 SOX
SOX10_8 SOX10 SOX
SOX10_9 SOX10 SOX
SOX11_1 SOX11 SOX
SOX11_2 SOX11 SOX
SOX12_1 SOX12 SOX
SOX13_1 SOX13 SOX
SOX14_1 SOX14 SOX
SOX14_2 SOX14 SOX
SOX14_3 SOX14 SOX
SOX14_4 SOX14 SOX
SOX15_1 SOX15 SOX
SOX15_2 SOX15 SOX
SOX15_3 SOX15 SOX
SOX15_4 SOX15 SOX
SOX17_1 SOX17 SOX
SOX17_2 SOX17 SOX
SOX17_3 SOX17 SOX
SOX17_4 SOX17 SOX
SOX17_5 SOX17 SOX
SOX18_1 SOX18 SOX
SOX18_2 SOX18 SOX
SOX18_3 SOX18 SOX
SOX18_4 SOX18 SOX
SOX2_1 SOX2 SOX
SOX2_2 SOX2 SOX
SOX2_3 SOX2 SOX
SOX2_4 SOX2 SOX
SOX2_5 SOX2 SOX
SOX2_6 SOX2 SOX
SOX2_7 SOX2 SOX
